hotel_name,rating,count
Club Quarters Hotel in Boston,Average,181
Club Quarters Hotel in Boston,Poor,65
Club Quarters Hotel in Boston,Terrible,49
Harborside Inn,Excellent,472
Harborside Inn,Very good,553
Harborside Inn,Average,126
Harborside Inn,Poor,53
Harborside Inn,Terrible,47
Charlesmark Hotel,Excellent,358
Charlesmark Hotel,Very good,321
Charlesmark Hotel,Average,67
Charlesmark Hotel,Poor,35
Charlesmark Hotel,Terrible,19
Boston Marriott Copley Place,Excellent,820
Boston Marriott Copley Place,Very good,"1,151"
Boston Marriott Copley Place,Average,410
Boston Marriott Copley Place,Poor,123
Boston Marriott Copley Place,Terrible,50
Hotel 140,Excellent,600
Hotel 140,Very good,649
Hotel 140,Average,235
Hotel 140,Poor,94
Hotel 140,Terrible,58
DoubleTree Suites by Hilton Boston-Cambridge,Excellent,569
DoubleTree Suites by Hilton Boston-Cambridge,Very good,569
DoubleTree Suites by Hilton Boston-Cambridge,Average,208
DoubleTree Suites by Hilton Boston-Cambridge,Poor,78
DoubleTree Suites by Hilton Boston-Cambridge,Terrible,55
The Inn at Longwood Medical,Excellent,473
The Inn at Longwood Medical,Very good,246
The Inn at Longwood Medical,Average,133
The Inn at Longwood Medical,Poor,65
The Inn at Longwood Medical,Terrible,51
Holiday Inn Express Boston,Excellent,171
Holiday Inn Express Boston,Very good,279
Holiday Inn Express Boston,Average,98
Holiday Inn Express Boston,Poor,30
Holiday Inn Express Boston,Terrible,25
Boston Park Plaza,Excellent,385
Boston Park Plaza,Very good,306
Boston Park Plaza,Average,139
Boston Park Plaza,Poor,75
Boston Park Plaza,Terrible,31
Hilton Boston Back Bay,Excellent,828
Hilton Boston Back Bay,Very good,922
Hilton Boston Back Bay,Average,386
Hilton Boston Back Bay,Poor,135
Hilton Boston Back Bay,Terrible,59
Embassy Suites by Hilton Boston - at Logan Airport,Excellent,696
Embassy Suites by Hilton Boston - at Logan Airport,Very good,696
Embassy Suites by Hilton Boston - at Logan Airport,Average,341
Embassy Suites by Hilton Boston - at Logan Airport,Poor,106
Embassy Suites by Hilton Boston - at Logan Airport,Terrible,66
Hilton Boston Downtown  Faneuil Hall,Excellent,554
Hilton Boston Downtown  Faneuil Hall,Very good,568
Hilton Boston Downtown  Faneuil Hall,Average,244
Hilton Boston Downtown  Faneuil Hall,Poor,90
Hilton Boston Downtown  Faneuil Hall,Terrible,63
Hilton Boston Logan Airport,Excellent,977
Hilton Boston Logan Airport,Very good,"1,175"
Hilton Boston Logan Airport,Average,452
Hilton Boston Logan Airport,Poor,141
Hilton Boston Logan Airport,Terrible,82
DoubleTree Club by Hilton Hotel Boston Bayside,Excellent,405
DoubleTree Club by Hilton Hotel Boston Bayside,Very good,466
DoubleTree Club by Hilton Hotel Boston Bayside,Average,275
DoubleTree Club by Hilton Hotel Boston Bayside,Poor,105
DoubleTree Club by Hilton Hotel Boston Bayside,Terrible,52
Hampton Inn &amp; Suites Boston Crosstown Center,Excellent,343
Hampton Inn &amp; Suites Boston Crosstown Center,Very good,325
Hampton Inn &amp; Suites Boston Crosstown Center,Average,163
Hampton Inn &amp; Suites Boston Crosstown Center,Poor,67
Hampton Inn &amp; Suites Boston Crosstown Center,Terrible,39
Chandler Inn,Excellent,283
Chandler Inn,Very good,439
Chandler Inn,Average,128
Chandler Inn,Poor,53
Chandler Inn,Terrible,32
Wyndham Boston Beacon Hill,Excellent,578
Wyndham Boston Beacon Hill,Very good,676
Wyndham Boston Beacon Hill,Average,357
Wyndham Boston Beacon Hill,Poor,125
Wyndham Boston Beacon Hill,Terrible,65
Boston Hotel Buckminster,Excellent,301
Boston Hotel Buckminster,Very good,494
Boston Hotel Buckminster,Average,233
Boston Hotel Buckminster,Poor,95
Boston Hotel Buckminster,Terrible,96
The Midtown Hotel,Excellent,580
The Midtown Hotel,Very good,"1,213"
The Midtown Hotel,Average,627
The Midtown Hotel,Poor,202
The Midtown Hotel,Terrible,89
Aloft Boston Seaport,Excellent,55
Aloft Boston Seaport,Very good,67
Aloft Boston Seaport,Average,19
Aloft Boston Seaport,Poor,10
Aloft Boston Seaport,Terrible,8
Copley House,Excellent,150
Copley House,Very good,193
Copley House,Average,89
Copley House,Poor,37
Copley House,Terrible,41
Holiday Inn Express Hotel &amp; Suites Boston Garden,Excellent,130
Holiday Inn Express Hotel &amp; Suites Boston Garden,Very good,173
Holiday Inn Express Hotel &amp; Suites Boston Garden,Average,87
Holiday Inn Express Hotel &amp; Suites Boston Garden,Poor,35
Holiday Inn Express Hotel &amp; Suites Boston Garden,Terrible,23
Courtyard Boston Downtown,Excellent,34
Courtyard Boston Downtown,Very good,42
Courtyard Boston Downtown,Average,21
Courtyard Boston Downtown,Poor,7
Courtyard Boston Downtown,Terrible,1
Courtyard by Marriott Boston Logan Airport,Excellent,149
Courtyard by Marriott Boston Logan Airport,Very good,250
Courtyard by Marriott Boston Logan Airport,Average,148
Courtyard by Marriott Boston Logan Airport,Poor,48
Courtyard by Marriott Boston Logan Airport,Terrible,28
Courtyard Boston-South Boston,Excellent,126
Courtyard Boston-South Boston,Very good,208
Courtyard Boston-South Boston,Average,71
Courtyard Boston-South Boston,Poor,32
Courtyard Boston-South Boston,Terrible,16
Beacon Hill Hotel and Bistro,Excellent,93
Beacon Hill Hotel and Bistro,Very good,62
Beacon Hill Hotel and Bistro,Average,19
Beacon Hill Hotel and Bistro,Poor,14
Beacon Hill Hotel and Bistro,Terrible,6
BEST WESTERN PLUS Roundhouse Suites,Excellent,238
BEST WESTERN PLUS Roundhouse Suites,Very good,343
BEST WESTERN PLUS Roundhouse Suites,Average,161
BEST WESTERN PLUS Roundhouse Suites,Poor,93
BEST WESTERN PLUS Roundhouse Suites,Terrible,57
Comfort Inn - Boston,Excellent,51
Comfort Inn - Boston,Very good,71
Comfort Inn - Boston,Average,46
Comfort Inn - Boston,Poor,17
Comfort Inn - Boston,Terrible,18
BEST WESTERN University Hotel Boston-Brighton,Excellent,130
BEST WESTERN University Hotel Boston-Brighton,Very good,182
BEST WESTERN University Hotel Boston-Brighton,Average,104
BEST WESTERN University Hotel Boston-Brighton,Poor,49
BEST WESTERN University Hotel Boston-Brighton,Terrible,32
Ramada Boston,Excellent,45
Ramada Boston,Very good,80
Ramada Boston,Average,83
Ramada Boston,Poor,45
Ramada Boston,Terrible,42
The Boston Common Hotel and Conference Center,Excellent,61
The Boston Common Hotel and Conference Center,Very good,203
The Boston Common Hotel and Conference Center,Average,205
The Boston Common Hotel and Conference Center,Poor,97
The Boston Common Hotel and Conference Center,Terrible,58
Milner Hotel,Excellent,29
Milner Hotel,Very good,124
Milner Hotel,Average,103
Milner Hotel,Poor,45
Milner Hotel,Terrible,67
Constitution Inn,Excellent,75
Constitution Inn,Very good,159
Constitution Inn,Average,147
Constitution Inn,Poor,95
Constitution Inn,Terrible,86
Americas Best Value Inn,Excellent,2
Americas Best Value Inn,Very good,4
Americas Best Value Inn,Average,8
Americas Best Value Inn,Poor,1
Americas Best Value Inn,Terrible,5
Days Hotel Boston,Excellent,25
Days Hotel Boston,Very good,56
Days Hotel Boston,Average,99
Days Hotel Boston,Poor,76
Days Hotel Boston,Terrible,56
